Word,Age Group,Difficulty Level
salty,7-8 years,Moderate
tar,5-6 years,Moderate
autograph,11-12 years,Moderate
intimidating,11-12 years,Hard
crib,5-6 years,Moderate
plainly,9-10 years,Moderate
metallic,9-10 years,Moderate
fuss,5-6 years,Moderate
divisive,9-10 years,Moderate
cleric,7-8 years,Moderate
dispatch,9-10 years,Moderate
ominous,9-10 years,Moderate
outpost,9-10 years,Moderate
boob,5-6 years,Moderate
slut,5-6 years,Moderate
windy,7-8 years,Moderate
salvage,9-10 years,Moderate
police,7-8 years,Moderate
presumption,11-12 years,Hard
asphalt,9-10 years,Moderate
rake,5-6 years,Moderate
centerpiece,11-12 years,Hard
bilingual,11-12 years,Moderate
vet,5-6 years,Moderate
purchasing,11-12 years,Hard
shitty,7-8 years,Moderate
dawn,5-6 years,Moderate
handkerchief,11-12 years,Hard
captive,9-10 years,Moderate
bound,7-8 years,Moderate
puddle,7-8 years,Moderate
mediator,9-10 years,Moderate
paramedic,11-12 years,Moderate
overhead,9-10 years,Moderate
chic,5-6 years,Moderate
eyelid,7-8 years,Moderate
bidding,9-10 years,Moderate
fireman,9-10 years,Moderate
excerpt,9-10 years,Moderate
hymn,5-6 years,Moderate
kill,5-6 years,Moderate
islamist,9-10 years,Moderate
vicinity,9-10 years,Moderate
ceremonial,11-12 years,Hard
grate,7-8 years,Moderate
striped,9-10 years,Moderate
metrics,9-10 years,Moderate
underwater,11-12 years,Hard
dart,5-6 years,Moderate
trim,5-6 years,Moderate
mentor,7-8 years,Moderate
fetal,7-8 years,Moderate
cherokee,9-10 years,Moderate
immature,9-10 years,Moderate
swarm,7-8 years,Moderate
aerospace,11-12 years,Moderate
iceberg,9-10 years,Moderate
brownie,9-10 years,Moderate
amuse,7-8 years,Moderate
bullpen,9-10 years,Moderate
snag,5-6 years,Moderate
espouse,9-10 years,Moderate
staggering,11-12 years,Hard
clueless,9-10 years,Moderate
rearrange,11-12 years,Moderate
favourite,11-12 years,Moderate
fanatic,9-10 years,Moderate
stale,7-8 years,Moderate
dearly,7-8 years,Moderate
homage,7-8 years,Moderate
norwegian,11-12 years,Moderate
orbital,9-10 years,Moderate
hideous,9-10 years,Moderate
daring,7-8 years,Moderate
borrowing,11-12 years,Moderate
pineapple,11-12 years,Moderate
irritation,11-12 years,Hard
luxurious,11-12 years,Moderate
upbeat,7-8 years,Moderate
operative,11-12 years,Moderate
magnify,9-10 years,Moderate
accreditation,11-12 years,Hard
affirmation,11-12 years,Hard
hmmm,5-6 years,Moderate
ceramics,9-10 years,Moderate
ancestry,9-10 years,Moderate
audition,9-10 years,Moderate
royal,7-8 years,Moderate
unnoticed,11-12 years,Moderate
springer,9-10 years,Moderate
scarcity,9-10 years,Moderate
academically,11-12 years,Hard
determinant,11-12 years,Hard
wallpaper,11-12 years,Moderate
timetable,11-12 years,Moderate
monologue,11-12 years,Moderate
skew,5-6 years,Moderate
predicament,11-12 years,Hard
unpack,7-8 years,Moderate
tone,5-6 years,Moderate
enlightened,11-12 years,Hard
bitterly,9-10 years,Moderate
hide,5-6 years,Moderate
comb,5-6 years,Moderate
bipolar,9-10 years,Moderate
caretaker,11-12 years,Moderate
lawful,7-8 years,Moderate
following,11-12 years,Moderate
statesman,11-12 years,Moderate
intimately,11-12 years,Hard
tabloid,9-10 years,Moderate
acorn,7-8 years,Moderate
weed,5-6 years,Moderate
chile,7-8 years,Moderate
knowingly,11-12 years,Moderate
socialist,11-12 years,Moderate
volatility,11-12 years,Hard
sly,5-6 years,Moderate
biopsy,7-8 years,Moderate
penetration,11-12 years,Hard
handmade,9-10 years,Moderate
featured,9-10 years,Moderate
waver,7-8 years,Moderate
vividly,9-10 years,Moderate
genesis,9-10 years,Moderate
citrus,7-8 years,Moderate
antitrust,11-12 years,Moderate
apprehension,11-12 years,Hard
in,5-6 years,Easy
solidify,9-10 years,Moderate
notoriously,11-12 years,Hard
gut,5-6 years,Moderate
scrub,7-8 years,Moderate
aggravate,11-12 years,Moderate
midwestern,11-12 years,Hard
savage,7-8 years,Moderate
oriental,9-10 years,Moderate
staffing,9-10 years,Moderate
objectively,11-12 years,Hard
entree,7-8 years,Moderate
diarrhea,9-10 years,Moderate
countdown,11-12 years,Moderate
colonization,11-12 years,Hard
fume,5-6 years,Moderate
skate,7-8 years,Moderate
sarcasm,9-10 years,Moderate
cynicism,9-10 years,Moderate
exploit,9-10 years,Moderate
caterpillar,11-12 years,Hard
aboriginal,11-12 years,Hard
bundle,7-8 years,Moderate
relativity,11-12 years,Hard
safeguard,11-12 years,Moderate
furnishings,11-12 years,Hard
chinese,9-10 years,Moderate
pimp,5-6 years,Moderate
fest,5-6 years,Moderate
relational,11-12 years,Hard
holler,7-8 years,Moderate
receiving,11-12 years,Moderate
intestine,11-12 years,Moderate
liturgy,9-10 years,Moderate
madden,7-8 years,Moderate
electronically,11-12 years,Hard
artificially,11-12 years,Hard
remedial,9-10 years,Moderate
renounce,9-10 years,Moderate
correctness,11-12 years,Hard
earned,7-8 years,Moderate
assured,9-10 years,Moderate
contagious,11-12 years,Hard
pink,5-6 years,Moderate
audible,9-10 years,Moderate
adopted,9-10 years,Moderate
sulfur,7-8 years,Moderate
measurable,11-12 years,Hard
oatmeal,9-10 years,Moderate
expend,7-8 years,Moderate
westerner,11-12 years,Moderate
fitting,9-10 years,Moderate
hallucination,11-12 years,Hard
walkway,9-10 years,Moderate
corroborate,11-12 years,Hard
simulated,11-12 years,Moderate
modernist,11-12 years,Moderate
fuse,5-6 years,Moderate
backstage,11-12 years,Moderate
negate,7-8 years,Moderate
unresolved,11-12 years,Hard
uncanny,9-10 years,Moderate
brew,5-6 years,Moderate
penalize,9-10 years,Moderate
visitation,11-12 years,Hard
unconditional,11-12 years,Hard
torrent,9-10 years,Moderate
imam,5-6 years,Moderate
defective,11-12 years,Moderate
manslaughter,11-12 years,Hard
amazement,11-12 years,Moderate
crossover,11-12 years,Moderate
commons,9-10 years,Moderate
zipper,7-8 years,Moderate
umpire,7-8 years,Moderate
identifiable,11-12 years,Hard
markedly,9-10 years,Moderate
anew,5-6 years,Moderate
smug,5-6 years,Moderate
grand,7-8 years,Moderate
quarterly,11-12 years,Moderate
professionalism,11-12 years,Hard
prenatal,9-10 years,Moderate
excess,7-8 years,Moderate
braille,9-10 years,Moderate
dock,5-6 years,Moderate
absurdity,11-12 years,Moderate
optimum,9-10 years,Moderate
brittle,9-10 years,Moderate
factor,7-8 years,Moderate
revere,7-8 years,Moderate
ignition,9-10 years,Moderate
bookshelf,11-12 years,Moderate
downfall,9-10 years,Moderate
afterlife,11-12 years,Moderate
geology,9-10 years,Moderate
folding,9-10 years,Moderate
ram,5-6 years,Moderate
rooster,9-10 years,Moderate
victorious,11-12 years,Hard
stiffen,9-10 years,Moderate
theorize,9-10 years,Moderate
parade,7-8 years,Moderate
crony,7-8 years,Moderate
default,9-10 years,Moderate
birdie,7-8 years,Moderate
tendon,7-8 years,Moderate
reconnect,11-12 years,Moderate
caricature,11-12 years,Hard
resurgence,11-12 years,Hard
plugin,7-8 years,Moderate
wink,5-6 years,Moderate
digest,7-8 years,Moderate
ploy,5-6 years,Moderate
destabilize,11-12 years,Hard
overreact,11-12 years,Moderate
swell,7-8 years,Moderate
stairwell,11-12 years,Moderate
overtime,9-10 years,Moderate
plutonium,11-12 years,Moderate
cradle,7-8 years,Moderate
concealed,11-12 years,Moderate
wrench,7-8 years,Moderate
maxim,7-8 years,Moderate
czar,5-6 years,Moderate
illegitimate,11-12 years,Hard
parchment,11-12 years,Moderate
videotape,11-12 years,Moderate
undefeated,11-12 years,Hard
save,5-6 years,Moderate
pitfall,9-10 years,Moderate
sentencing,11-12 years,Hard
wrench,7-8 years,Moderate
tilt,5-6 years,Moderate
iris,5-6 years,Moderate
amazon,7-8 years,Moderate
video,7-8 years,Moderate
racing,7-8 years,Moderate
predicted,11-12 years,Moderate
adjustable,11-12 years,Hard
onslaught,11-12 years,Moderate
gleam,7-8 years,Moderate
prognosis,11-12 years,Moderate
payback,9-10 years,Moderate
spaniard,9-10 years,Moderate
jihadist,9-10 years,Moderate
empirically,11-12 years,Hard
sentencing,11-12 years,Hard
unimaginable,11-12 years,Hard
legitimately,11-12 years,Hard
plurality,11-12 years,Moderate
polio,7-8 years,Moderate
conformity,11-12 years,Hard
rearview,9-10 years,Moderate
intertwine,11-12 years,Hard
mahogany,9-10 years,Moderate
shabby,7-8 years,Moderate
cardboard,11-12 years,Moderate
bungalow,9-10 years,Moderate
unification,11-12 years,Hard
citizenry,11-12 years,Moderate
nonprofit,11-12 years,Moderate
preparedness,11-12 years,Hard
opium,7-8 years,Moderate
meticulous,11-12 years,Hard
eggplant,9-10 years,Moderate
inlet,7-8 years,Moderate
listed,7-8 years,Moderate
hereby,7-8 years,Moderate
sovereign,11-12 years,Moderate
nonlinear,11-12 years,Moderate
wasteful,9-10 years,Moderate
ax,5-6 years,Easy
stillness,11-12 years,Moderate
mustang,9-10 years,Moderate
attrition,11-12 years,Moderate
gratification,11-12 years,Hard
timid,7-8 years,Moderate
asking,7-8 years,Moderate
reputable,11-12 years,Moderate
ordain,7-8 years,Moderate
glisten,9-10 years,Moderate
taut,5-6 years,Moderate
front,7-8 years,Moderate
malware,9-10 years,Moderate
nickname,9-10 years,Moderate
durability,11-12 years,Hard
waterproof,11-12 years,Hard
dwindle,9-10 years,Moderate
teddy,7-8 years,Moderate
pang,5-6 years,Moderate
unnecessarily,11-12 years,Hard
wad,5-6 years,Moderate
distraught,11-12 years,Hard
underworld,11-12 years,Hard
subprime,9-10 years,Moderate
bait,5-6 years,Moderate
grace,7-8 years,Moderate
buggy,7-8 years,Moderate
ace,5-6 years,Moderate
birthplace,11-12 years,Hard
rebuttal,9-10 years,Moderate
pursuit,9-10 years,Moderate
clerical,9-10 years,Moderate
syndicate,11-12 years,Moderate
accentuate,11-12 years,Hard
condominium,11-12 years,Hard
elitist,9-10 years,Moderate
logistical,11-12 years,Hard
forsake,9-10 years,Moderate
stranded,9-10 years,Moderate
unsuccessfully,11-12 years,Hard
magnolia,9-10 years,Moderate
crispy,7-8 years,Moderate
purposeful,11-12 years,Hard
syndicated,11-12 years,Hard
allure,7-8 years,Moderate
theorem,9-10 years,Moderate
sporadic,9-10 years,Moderate
formality,11-12 years,Moderate
rafter,7-8 years,Moderate
deficient,11-12 years,Moderate
regal,7-8 years,Moderate
resin,7-8 years,Moderate
honk,5-6 years,Moderate
unlucky,9-10 years,Moderate
cheekbone,11-12 years,Moderate
posterior,11-12 years,Moderate
fennel,7-8 years,Moderate
semantics,11-12 years,Moderate
conversational,11-12 years,Hard
doubtless,11-12 years,Moderate
unbiased,9-10 years,Moderate
tripod,7-8 years,Moderate
invalid,9-10 years,Moderate
rummage,9-10 years,Moderate
dependent,11-12 years,Moderate
ratification,11-12 years,Hard
personalize,11-12 years,Hard
pouring,9-10 years,Moderate
lengthen,9-10 years,Moderate
swirl,7-8 years,Moderate
honored,9-10 years,Moderate
fractured,11-12 years,Moderate
rescuer,9-10 years,Moderate
peruvian,9-10 years,Moderate
case,5-6 years,Moderate
traffic,9-10 years,Moderate
inward,7-8 years,Moderate
rendezvous,11-12 years,Hard
galley,7-8 years,Moderate
compulsive,11-12 years,Hard
impossibly,11-12 years,Hard
refill,7-8 years,Moderate
misinterpret,11-12 years,Hard
technologically,11-12 years,Hard
nonverbal,11-12 years,Moderate
deteriorating,11-12 years,Hard
caramel,9-10 years,Moderate
crippling,11-12 years,Moderate
filler,7-8 years,Moderate
bombard,9-10 years,Moderate
troll,7-8 years,Moderate
detriment,11-12 years,Moderate
meticulously,11-12 years,Hard
mesmerize,11-12 years,Moderate
corner,7-8 years,Moderate
wishful,9-10 years,Moderate
scoot,7-8 years,Moderate
prick,7-8 years,Moderate
inadequacy,11-12 years,Hard
regularity,11-12 years,Hard
comfy,7-8 years,Moderate
cola,5-6 years,Moderate
cartoonist,11-12 years,Hard
pap,5-6 years,Moderate
dreaded,9-10 years,Moderate
showroom,9-10 years,Moderate
saturation,11-12 years,Hard
tulip,7-8 years,Moderate
stow,5-6 years,Moderate
reckoning,11-12 years,Moderate
redevelopment,11-12 years,Hard
switching,11-12 years,Moderate
meatball,9-10 years,Moderate
celtic,7-8 years,Moderate
misstep,9-10 years,Moderate
simulator,11-12 years,Moderate
cocky,7-8 years,Moderate
invincible,11-12 years,Hard
inaction,9-10 years,Moderate
tau,5-6 years,Moderate
abstain,9-10 years,Moderate
chronically,11-12 years,Hard
sneaky,7-8 years,Moderate
piece,7-8 years,Moderate
instil,7-8 years,Moderate
momentous,11-12 years,Moderate
amp,5-6 years,Moderate
denominator,11-12 years,Hard
dole,5-6 years,Moderate
enclosed,9-10 years,Moderate
toaster,9-10 years,Moderate
devalue,9-10 years,Moderate
federalist,11-12 years,Hard
crazed,7-8 years,Moderate
pretext,9-10 years,Moderate
digestion,11-12 years,Moderate
electrician,11-12 years,Hard
inflated,9-10 years,Moderate
stalker,9-10 years,Moderate
repress,9-10 years,Moderate
floppy,7-8 years,Moderate
porter,7-8 years,Moderate
enumerate,11-12 years,Moderate
muzzle,7-8 years,Moderate
dreamy,7-8 years,Moderate
binding,9-10 years,Moderate
silicone,9-10 years,Moderate
supplant,9-10 years,Moderate
habitual,9-10 years,Moderate
mamma,7-8 years,Moderate
figurative,11-12 years,Hard
peacekeeper,11-12 years,Hard
rowing,7-8 years,Moderate
propeller,11-12 years,Moderate
darling,9-10 years,Moderate
cherished,11-12 years,Moderate
innumerable,11-12 years,Hard
jubilee,9-10 years,Moderate
impasse,9-10 years,Moderate
nap,5-6 years,Moderate
flail,7-8 years,Moderate
rustle,7-8 years,Moderate
padding,9-10 years,Moderate
stalemate,11-12 years,Moderate
decree,7-8 years,Moderate
sportsman,11-12 years,Moderate
meningitis,11-12 years,Hard
idle,5-6 years,Moderate
orb,5-6 years,Moderate
deluxe,7-8 years,Moderate
solar,7-8 years,Moderate
tattoo,7-8 years,Moderate
hitch,7-8 years,Moderate
imbue,7-8 years,Moderate
feeding,9-10 years,Moderate
observance,11-12 years,Hard
stockholder,11-12 years,Hard
zebra,7-8 years,Moderate
unsalted,9-10 years,Moderate
privy,7-8 years,Moderate
dermatologist,11-12 years,Hard
supersede,11-12 years,Moderate
subordinate,11-12 years,Hard
pivot,7-8 years,Moderate
paradoxical,11-12 years,Hard
defuse,7-8 years,Moderate
unparalleled,11-12 years,Hard
resurface,11-12 years,Moderate
experimenter,11-12 years,Hard
causation,11-12 years,Moderate
shank,7-8 years,Moderate
whimsical,11-12 years,Moderate
skillful,9-10 years,Moderate
archdiocese,11-12 years,Hard
faggot,7-8 years,Moderate
denigrate,11-12 years,Moderate
filipino,9-10 years,Moderate
tights,7-8 years,Moderate
predispose,11-12 years,Hard
attracting,11-12 years,Hard
drench,7-8 years,Moderate
humanism,9-10 years,Moderate
instantaneous,11-12 years,Hard
despair,9-10 years,Moderate
complacent,11-12 years,Hard
allot,7-8 years,Moderate
cardio,7-8 years,Moderate
meander,9-10 years,Moderate
yum,5-6 years,Moderate
madly,7-8 years,Moderate
conceptualization,11-12 years,Hard
moot,5-6 years,Moderate
miniseries,11-12 years,Hard
outdo,7-8 years,Moderate
tombstone,11-12 years,Moderate
actuality,11-12 years,Moderate
gran,5-6 years,Moderate
grit,5-6 years,Moderate
notoriety,11-12 years,Moderate
neuroscience,11-12 years,Hard
uniformity,11-12 years,Hard
whine,7-8 years,Moderate
chateau,9-10 years,Moderate
absent,7-8 years,Moderate
tabletop,9-10 years,Moderate
heron,7-8 years,Moderate
shrapnel,9-10 years,Moderate
inappropriately,11-12 years,Hard
questioning,11-12 years,Hard
veritable,11-12 years,Moderate
babble,7-8 years,Moderate
anglican,9-10 years,Moderate
affix,7-8 years,Moderate
newt,5-6 years,Moderate
federalism,11-12 years,Hard
aggregate,11-12 years,Moderate
naturalization,11-12 years,Hard
posh,5-6 years,Moderate
sioux,7-8 years,Moderate
gratifying,11-12 years,Hard
disoriented,11-12 years,Hard
limelight,11-12 years,Moderate
hectare,9-10 years,Moderate
symptomatic,11-12 years,Hard
enigma,7-8 years,Moderate
brazen,7-8 years,Moderate
strenuous,11-12 years,Moderate
nonproliferation,11-12 years,Hard
uphill,7-8 years,Moderate
guard,7-8 years,Moderate
aristocracy,11-12 years,Hard
transformer,11-12 years,Hard
medley,7-8 years,Moderate
somatic,9-10 years,Moderate
ornamental,11-12 years,Hard
doubling,9-10 years,Moderate
freaky,7-8 years,Moderate
lap,5-6 years,Moderate
matching,9-10 years,Moderate
gripping,9-10 years,Moderate
testicle,9-10 years,Moderate
whatnot,9-10 years,Moderate
clustering,11-12 years,Hard
alternating,11-12 years,Hard
infiltration,11-12 years,Hard
buzzer,7-8 years,Moderate
mouthpiece,11-12 years,Hard
dull,5-6 years,Moderate
gripe,7-8 years,Moderate
steamer,9-10 years,Moderate
franc,7-8 years,Moderate
pare,5-6 years,Moderate
leaflet,9-10 years,Moderate
dredge,7-8 years,Moderate
illogical,11-12 years,Moderate
conservatory,11-12 years,Hard
fracture,9-10 years,Moderate
attendant,11-12 years,Moderate
rowdy,7-8 years,Moderate
secretion,11-12 years,Moderate
underrepresented,11-12 years,Hard
blasphemy,11-12 years,Moderate
inhuman,9-10 years,Moderate
anoint,7-8 years,Moderate
secretariat,11-12 years,Hard
ultimatum,11-12 years,Moderate
hapless,9-10 years,Moderate
oddity,7-8 years,Moderate
stagger,9-10 years,Moderate
oncoming,9-10 years,Moderate
scandalous,11-12 years,Hard
automate,9-10 years,Moderate
purification,11-12 years,Hard
muffle,7-8 years,Moderate
stagnation,11-12 years,Hard
diffuse,9-10 years,Moderate
relativism,11-12 years,Hard
multiracial,11-12 years,Hard
drowning,9-10 years,Moderate
misrepresentation,11-12 years,Hard
scallions,11-12 years,Moderate
presumed,9-10 years,Moderate
spite,7-8 years,Moderate
chirp,7-8 years,Moderate
maroon,7-8 years,Moderate
rye,5-6 years,Moderate
escalator,11-12 years,Moderate
breezy,7-8 years,Moderate
optic,7-8 years,Moderate
derogatory,11-12 years,Hard
kennel,7-8 years,Moderate
scalpel,9-10 years,Moderate
wart,5-6 years,Moderate
nifty,7-8 years,Moderate
over,5-6 years,Moderate
cashmere,9-10 years,Moderate
fearsome,9-10 years,Moderate
polyester,11-12 years,Moderate
cadmium,9-10 years,Moderate
friar,7-8 years,Moderate
screaming,11-12 years,Moderate
lair,5-6 years,Moderate
silo,5-6 years,Moderate
notch,7-8 years,Moderate
masse,7-8 years,Moderate
wayward,9-10 years,Moderate
profiling,11-12 years,Moderate
macroeconomic,11-12 years,Hard
nervousness,11-12 years,Hard
father,7-8 years,Moderate
choreograph,11-12 years,Hard
siphon,7-8 years,Moderate
practise,9-10 years,Moderate
gingerbread,11-12 years,Hard
bathrobe,9-10 years,Moderate
prepaid,9-10 years,Moderate
concoction,11-12 years,Hard
breakfast,11-12 years,Moderate
headquarter,11-12 years,Hard
synopsis,9-10 years,Moderate
wiki,5-6 years,Moderate
tycoon,7-8 years,Moderate
abject,7-8 years,Moderate
scot,5-6 years,Moderate
dissection,11-12 years,Hard
violinist,11-12 years,Moderate
roi,5-6 years,Moderate
impassioned,11-12 years,Hard
whisky,7-8 years,Moderate
vouch,7-8 years,Moderate
prowl,7-8 years,Moderate
mug,5-6 years,Moderate
errant,7-8 years,Moderate
turquoise,11-12 years,Moderate
geothermal,11-12 years,Hard
site,5-6 years,Moderate
underpinning,11-12 years,Hard
foreshadow,11-12 years,Hard
consequent,11-12 years,Hard
lonesome,9-10 years,Moderate
caviar,7-8 years,Moderate
constitutionality,11-12 years,Hard
altercation,11-12 years,Hard
saber,7-8 years,Moderate
distal,7-8 years,Moderate
molasses,9-10 years,Moderate
triplet,9-10 years,Moderate
decaying,9-10 years,Moderate
wow,5-6 years,Moderate
consul,7-8 years,Moderate
leisurely,11-12 years,Moderate
unfriendly,11-12 years,Hard
summons,9-10 years,Moderate
knitting,9-10 years,Moderate
contraceptive,11-12 years,Hard
intifada,9-10 years,Moderate
illustrative,11-12 years,Hard
awning,7-8 years,Moderate
apprehensive,11-12 years,Hard
stub,5-6 years,Moderate
caseload,9-10 years,Moderate
subconscious,11-12 years,Hard
acceptability,11-12 years,Hard
interrelated,11-12 years,Hard
jaded,7-8 years,Moderate
gape,5-6 years,Moderate
quadruple,11-12 years,Moderate
supplementation,11-12 years,Hard
grease,7-8 years,Moderate
orphaned,9-10 years,Moderate
superimpose,11-12 years,Hard
reprehensible,11-12 years,Hard
forbidding,11-12 years,Hard
gloss,7-8 years,Moderate
ethereal,9-10 years,Moderate
snob,5-6 years,Moderate
defraud,9-10 years,Moderate
hegemonic,11-12 years,Moderate
repertory,11-12 years,Moderate
additive,9-10 years,Moderate
affiliated,11-12 years,Hard
crashing,9-10 years,Moderate
kink,5-6 years,Moderate
sleigh,7-8 years,Moderate
gauze,7-8 years,Moderate
extrinsic,11-12 years,Moderate
standby,9-10 years,Moderate
prequel,9-10 years,Moderate
quarrel,9-10 years,Moderate
neocon,7-8 years,Moderate
recast,7-8 years,Moderate
holocaust,11-12 years,Moderate
mosaic,7-8 years,Moderate
insurrection,11-12 years,Hard
meld,5-6 years,Moderate
abiding,9-10 years,Moderate
psych,7-8 years,Moderate
ascension,11-12 years,Moderate
windowsill,11-12 years,Hard
plunder,9-10 years,Moderate
captivating,11-12 years,Hard
withholding,11-12 years,Hard
desirability,11-12 years,Hard
skit,5-6 years,Moderate
encroach,9-10 years,Moderate
overseer,9-10 years,Moderate
sup,5-6 years,Moderate
streaming,11-12 years,Moderate
wandering,11-12 years,Moderate
whoop,7-8 years,Moderate
succinctly,11-12 years,Hard
birthright,11-12 years,Hard
rekindle,9-10 years,Moderate
composting,11-12 years,Hard
retainer,9-10 years,Moderate
belligerent,11-12 years,Hard
fence,7-8 years,Moderate
idiocy,7-8 years,Moderate
sober,7-8 years,Moderate
wild,5-6 years,Moderate
discerning,11-12 years,Hard
widening,9-10 years,Moderate
degeneration,11-12 years,Hard
cog,5-6 years,Moderate
mobster,9-10 years,Moderate
storybook,11-12 years,Moderate
included,9-10 years,Moderate
cut,5-6 years,Moderate
artful,7-8 years,Moderate
docking,9-10 years,Moderate
nautical,9-10 years,Moderate
maximal,9-10 years,Moderate
blockage,9-10 years,Moderate
revitalization,11-12 years,Hard
guatemalan,11-12 years,Hard
uncompromising,11-12 years,Hard
flourishing,11-12 years,Hard
rigorously,11-12 years,Hard
oncology,9-10 years,Moderate
alchemy,9-10 years,Moderate
typify,7-8 years,Moderate
repugnant,11-12 years,Moderate
reassign,9-10 years,Moderate
dingy,7-8 years,Moderate
headway,9-10 years,Moderate
tint,5-6 years,Moderate
mirage,7-8 years,Moderate
authoritarianism,11-12 years,Hard
aural,7-8 years,Moderate
timeframe,11-12 years,Moderate
pluralistic,11-12 years,Hard
trailhead,11-12 years,Moderate
purr,5-6 years,Moderate
humbling,9-10 years,Moderate
unproven,9-10 years,Moderate
radial,7-8 years,Moderate
fluorescence,11-12 years,Hard
accredit,9-10 years,Moderate
daydream,9-10 years,Moderate
know,5-6 years,Moderate
consign,9-10 years,Moderate
forte,7-8 years,Moderate
ballplayer,11-12 years,Hard
vending,9-10 years,Moderate
widower,9-10 years,Moderate
hound,7-8 years,Moderate
institutionalized,11-12 years,Hard
wickedness,11-12 years,Hard
andean,7-8 years,Moderate
enthrall,9-10 years,Moderate
springboard,11-12 years,Hard
pained,7-8 years,Moderate
horrified,11-12 years,Moderate
supercomputer,11-12 years,Hard
coy,5-6 years,Moderate
nationalistic,11-12 years,Hard
smudge,7-8 years,Moderate
circular,9-10 years,Moderate
saunter,9-10 years,Moderate
amorphous,11-12 years,Moderate
rattlesnake,11-12 years,Hard
councilman,11-12 years,Hard
zodiac,7-8 years,Moderate
pelt,5-6 years,Moderate
trinket,9-10 years,Moderate
pushy,7-8 years,Moderate
downtime,9-10 years,Moderate
graft,7-8 years,Moderate
fission,9-10 years,Moderate
snarky,7-8 years,Moderate
censor,7-8 years,Moderate
convertible,11-12 years,Hard
reprieve,9-10 years,Moderate
punt,5-6 years,Moderate
apnea,7-8 years,Moderate
nativity,9-10 years,Moderate
perpendicular,11-12 years,Hard
headstone,11-12 years,Moderate
coolly,7-8 years,Moderate
gruff,7-8 years,Moderate
chickpea,9-10 years,Moderate
diversified,11-12 years,Hard
rewind,7-8 years,Moderate
oy,5-6 years,Easy
glassy,7-8 years,Moderate
ice,5-6 years,Moderate
scorn,7-8 years,Moderate
barometer,11-12 years,Moderate
sql,5-6 years,Moderate
harbinger,11-12 years,Moderate
ancillary,11-12 years,Moderate
amiss,7-8 years,Moderate
charging,9-10 years,Moderate
undead,7-8 years,Moderate
cadaver,9-10 years,Moderate
mistreatment,11-12 years,Hard
assail,7-8 years,Moderate
botanist,9-10 years,Moderate
schism,7-8 years,Moderate
gynecologist,11-12 years,Hard
notepad,9-10 years,Moderate
redistricting,11-12 years,Hard
longhorn,9-10 years,Moderate
handicap,9-10 years,Moderate
populism,9-10 years,Moderate
pruning,9-10 years,Moderate
thoroughfare,11-12 years,Hard
clot,5-6 years,Moderate
unfunded,9-10 years,Moderate
medial,7-8 years,Moderate
finisher,9-10 years,Moderate
sizeable,9-10 years,Moderate
slander,9-10 years,Moderate
tonal,7-8 years,Moderate
lingo,7-8 years,Moderate
whining,9-10 years,Moderate
untimely,9-10 years,Moderate
slain,7-8 years,Moderate
quaker,7-8 years,Moderate
departed,9-10 years,Moderate
skewed,7-8 years,Moderate
tested,7-8 years,Moderate
namespace,11-12 years,Moderate
eccentricity,11-12 years,Hard
uptick,7-8 years,Moderate
cauliflower,11-12 years,Hard
navigational,11-12 years,Hard
quaker,7-8 years,Moderate
revulsion,11-12 years,Moderate
bewildering,11-12 years,Hard
uneasily,9-10 years,Moderate
passivity,11-12 years,Moderate
monastic,9-10 years,Moderate
twinkle,9-10 years,Moderate
motorcade,11-12 years,Moderate
defending,11-12 years,Moderate
shackle,9-10 years,Moderate
panacea,9-10 years,Moderate
stunt,7-8 years,Moderate
extraneous,11-12 years,Hard
quark,7-8 years,Moderate
gripe,7-8 years,Moderate
goad,5-6 years,Moderate
franciscan,11-12 years,Hard
unfathomable,11-12 years,Hard
sprinter,9-10 years,Moderate
tout,5-6 years,Moderate
ventilator,11-12 years,Hard
toxicology,11-12 years,Hard
pariah,7-8 years,Moderate
soluble,9-10 years,Moderate
deleterious,11-12 years,Hard
auditing,9-10 years,Moderate
stabbing,9-10 years,Moderate
lightness,11-12 years,Moderate
eugenics,9-10 years,Moderate
treetop,9-10 years,Moderate
treasured,11-12 years,Moderate
neurosurgeon,11-12 years,Hard
catapult,9-10 years,Moderate
inwardly,9-10 years,Moderate
archetypal,11-12 years,Hard
botch,7-8 years,Moderate
kickback,9-10 years,Moderate
stockbroker,11-12 years,Hard
keeping,9-10 years,Moderate
legging,9-10 years,Moderate
corrugated,11-12 years,Hard
exorcism,9-10 years,Moderate
unsecured,11-12 years,Moderate
godmother,11-12 years,Moderate
delirious,11-12 years,Moderate
truckload,11-12 years,Moderate
unconscionable,11-12 years,Hard
equalize,9-10 years,Moderate
arraignment,11-12 years,Hard
cacophony,11-12 years,Moderate
dictum,7-8 years,Moderate
elect,7-8 years,Moderate
proviso,9-10 years,Moderate
irrigate,9-10 years,Moderate
persian,9-10 years,Moderate
tracer,7-8 years,Moderate
salmonella,11-12 years,Hard
threesome,11-12 years,Moderate
dialectical,11-12 years,Hard
hotbed,7-8 years,Moderate
imperialist,11-12 years,Hard
impressively,11-12 years,Hard
cordless,9-10 years,Moderate
foreboding,11-12 years,Hard
basilica,9-10 years,Moderate
redress,9-10 years,Moderate
masquerade,11-12 years,Hard
wheelbarrow,11-12 years,Hard
smudge,7-8 years,Moderate
smattering,11-12 years,Hard
centralize,11-12 years,Hard
